normalized_url,raw_url_count,clicks,impressions,ctr_percent,avg_position,present_in_gsc
"https://xuongmaygiatot.vn/san-pham/ao-so-mi-nam-nu-trang-dai-tay-oxford-oversize-cao-cap-co-be-tui-nguc-form-rong-thoai-mai/","1","1","4","25.00","4.00","yes"
"https://xuongmaygiatot.vn/https-xuongmaygiatot-vn-da-ngam-den-mac-mau-gi/","1","0","1595","0.00","60.74","yes"
"https://xuongmaygiatot.vn/san-pham/airism-cotton-ao-thun-arden-na9753/","1","0","160","0.00","27.96","yes"
"https://xuongmaygiatot.vn/dong-phuc-cong-ty-gia-si-xu-huong-dep/","1","0","128","0.00","47.05","yes"
"https://xuongmaygiatot.vn/san-pham/page/3/","1","0","122","0.00","4.57","yes"
"https://xuongmaygiatot.vn/cap-nhat-moi-nhat-ve-hoa-don-dien-tu/","1","0","101","0.00","6.64","yes"
"https://xuongmaygiatot.vn/san-pham/ao-so-mi-nu-cao-cap-tay-ngan-kieu-cong-so/","1","0","73","0.00","39.97","yes"
"https://xuongmaygiatot.vn/ai-cho-doanh-nghiep/","1","0","72","0.00","12.75","yes"
"https://xuongmaygiatot.vn/danh-muc-san-pham/thoi-trang-khac/ao-hoodie/","1","0","65","0.00","12.06","yes"
"https://xuongmaygiatot.vn/san-pham/ao-so-mi-caro/","1","0","62","0.00","34.56","yes"
"https://xuongmaygiatot.vn/san-pham/ao-thun-cotton-airism-at8267/","1","0","61","0.00","23.30","yes"
"https://xuongmaygiatot.vn/san-pham/ao-sweater-arden-st985/","1","0","60","0.00","11.58","yes"
"https://xuongmaygiatot.vn/danh-muc-san-pham/thoi-trang-khac/ao-sweater/","1","0","60","0.00","19.47","yes"
"https://xuongmaygiatot.vn/danh-muc-san-pham/thoi-trang-khac/","1","0","59","0.00","9.41","yes"
"https://xuongmaygiatot.vn/san-pham/ao-ni-co-tron-arden-na8754/","1","0","44","0.00","23.32","yes"
"https://xuongmaygiatot.vn/san-pham/ao-hoodie-milano-co-khoa-keo-hd8532/","1","0","40","0.00","29.18","yes"
"https://xuongmaygiatot.vn/danh-muc-san-pham/thoi-trang-nam/","1","0","38","0.00","9.95","yes"
"https://xuongmaygiatot.vn/san-pham/ao-thun-oversize-bonney/","1","0","38","0.00","12.63","yes"
"https://xuongmaygiatot.vn/xuong-may-uy-tin-5-ly-do-chon-doi-tac-chat-luong/","1","0","35","0.00","41.00","yes"
"https://xuongmaygiatot.vn/tim-xuong-may-giao-hang-nhanh-tai-tp-hcm/","1","0","34","0.00","6.56","yes"
"https://xuongmaygiatot.vn/dich-vu/chuyen-si-thoi-trang/","1","0","34","0.00","56.62","yes"
"https://xuongmaygiatot.vn/san-pham/ao-thun-phoi-bonney-trang-den-oversize/","1","0","28","0.00","15.46","yes"
"https://xuongmaygiatot.vn/xuong-may-dong-phuc-hoc-sinh-tphcm/","1","0","21","0.00","41.52","yes"
"https://xuongmaygiatot.vn/kham-pha-xuong-may-ao-thun-tan-phu-tp-hcm/","1","0","19","0.00","8.05","yes"
"https://xuongmaygiatot.vn/xu-huong-local-brand-2026/","1","0","14","0.00","10.21","yes"
"https://xuongmaygiatot.vn/marketing-tiktok-cho-thoi-trang-bi-kip-viral-brand/","1","0","12","0.00","9.42","yes"
"https://xuongmaygiatot.vn/khoi-sac-don-hang-det-may-cuoi-nam-2024/","1","0","11","0.00","8.55","yes"
"https://xuongmaygiatot.vn/category/tin-tuc/page/2/","1","0","10","0.00","12.90","yes"
"https://xuongmaygiatot.vn/danh-muc-san-pham/thoi-trang-nam/page/2/","1","0","10","0.00","27.40","yes"
"https://xuongmaygiatot.vn/san-pham/ao-so-mi-cong-so-coc-tay/","1","0","8","0.00","63.38","yes"
"https://xuongmaygiatot.vn/san-pham/ao-thun-nam-mau-2/","1","0","6","0.00","7.33","yes"
"https://xuongmaygiatot.vn/category/tin-tuc/page/4/","1","0","6","0.00","9.33","yes"
"https://xuongmaygiatot.vn/bi-quyet-chon-xuong-may-ao-dai-hoc-sinh/","1","0","6","0.00","21.33","yes"
"https://xuongmaygiatot.vn/xuong-may-gia-cong-tron-goi-tai-tphcm/","1","0","5","0.00","2.20","yes"
"https://xuongmaygiatot.vn/san-pham/ao-so-mi-cong-so-nu-han-quoc-kieu-basic/","1","0","5","0.00","29.00","yes"
"https://xuongmaygiatot.vn/san-pham/page/4/","1","0","4","0.00","5.00","yes"
"https://xuongmaygiatot.vn/7-tieu-chi-danh-gia-mot-xuong-may-gia-cong/","1","0","4","0.00","6.50","yes"
